id,date,title,text_preview,sentiment,confidence,notes,content,content_length
1,2022-01-23 00:00:00,"Polemik Arteria Dahlan Jadi Pembelajaran Kader, Hasto: Dalam Politik Hati-hati Berbicara","BALI, KOMPAS.com- Sekretaris Jenderal PDI-P Hasto Kristiyanto meminta seluruh pengurus dan kader partai tidak sembarangan dalam berkomunikasi di ruang publik. Hal ini ia sampaikan terkait ucapan anggota DPR sekaligus kaderPDI-PArteria Dahlan yang menjadi polemik. Arteria mempersoalkan adanya kepala ...",netral,,,"BALI, KOMPAS.com- Sekretaris Jenderal PDI-P Hasto Kristiyanto meminta seluruh pengurus dan kader partai tidak sembarangan dalam berkomunikasi di ruang publik. Hal ini ia sampaikan terkait ucapan anggota DPR sekaligus kaderPDI-PArteria Dahlan yang menjadi polemik. Arteria mempersoalkan adanya kepala kejaksaan tinggi (kajati) yang berbahasa Sunda dalam rapat. ""Bagi PDI Perjuangan, ini juga menjadi pembelajaran bagi seluruh anggota dan kader partai untuk dalam politik itu hati-hati berbicara,"" kata Hasto, di sela-sela rangkaian acara HUT ke-49 PDI-P dan Ketua Umum Megawati Soekarnoputri di Bali, Sabtu (22/1/2022).",618
2,2022-01-23 00:00:00,"HUT Ke-75 Megawati, Pramono Anung: Politik Ibu Ketum Jangka Panjang, Tidak Grasa-grusu","BALI, KOMPAS.com- Mantan Sekretaris Jenderal PDI Perjuangan Pramono Anung mengungkapkan bahwa Ketua Umum Megawati Soekarnoputri memiliki ciri khas dalam berpolitik. Adapunpolitikyang menjadi ciri khas Megawati adalah politik jangka panjang. ""Politik Ibu Ketum itu kan politik yang jangka panjang dan ...",netral,,,"BALI, KOMPAS.com- Mantan Sekretaris Jenderal PDI Perjuangan Pramono Anung mengungkapkan bahwa Ketua Umum Megawati Soekarnoputri memiliki ciri khas dalam berpolitik. Adapunpolitikyang menjadi ciri khas Megawati adalah politik jangka panjang. ""Politik Ibu Ketum itu kan politik yang jangka panjang dan selalu tenang. Tidak grasa-grusu, tidak gopoh-gopoh, tidak berubah,"" kata Pramono dalam acara Sikap Hidup Merawat Pertiwi di akun YoutubePDI Perjuangan, Minggu (23/1/2022). Adapun hal tersebut disampaikan Pramono saat menjadi narasumber dalam acara peringatan hari ulang tahun (HUT) ke-75 Megawati pada hari ini.",612
3,2022-01-24 00:00:00,"Pengamat Tebak Pesan Anies ke Giring: Kalau Sumbang Suaranya, Jangan Ngomong Politik Dulu Deh...","JAKARTA, KOMPAS.com- Direktur Eksekutif Parameter Politik Indonesia, Adi Prayitno menebak pesan terselubung Gubernur DKI Anies Baswedan kepada Ketua Umum Partai Solidaritas Indonesia (PSI) Giring Ganesha. Pesan yang dimaksud ketika Anies menyindir Giring lewat unggahan foto grup band Nidji tampil di...",netral,,,"JAKARTA, KOMPAS.com- Direktur Eksekutif Parameter Politik Indonesia, Adi Prayitno menebak pesan terselubung Gubernur DKI Anies Baswedan kepada Ketua Umum Partai Solidaritas Indonesia (PSI) Giring Ganesha. Pesan yang dimaksud ketika Anies menyindir Giring lewat unggahan foto grup band Nidji tampil di Jakarta International Stadium (JIS). Dalam unggahan itu, menurut pengamatan Adi, Anies ingin bilang kepada Giring agar jangan berbicara politik dulu.",450
4,2022-01-24 00:00:00,UPDATE: 20.867 Kasus Aktif Covid-19 di Indonesia,"JAKARTA, KOMPAS.com- Pemerintah menyampaikan terdapat 20.867 kasus aktif Covid-19 pada Senin (24/1/2022). Jumlah tersebut menyusul adanya penambahan sebanyak 1.976 kasus. Kasus aktif adalah pasien yang dinyatakan positif Covid-19 dan sedang menjalani perawatan. Angka itu didapatkan dengan mengurangi...",negatif,,,"JAKARTA, KOMPAS.com- Pemerintah menyampaikan terdapat 20.867 kasus aktif Covid-19 pada Senin (24/1/2022). Jumlah tersebut menyusul adanya penambahan sebanyak 1.976 kasus. Kasus aktif adalah pasien yang dinyatakan positif Covid-19 dan sedang menjalani perawatan. Angka itu didapatkan dengan mengurangi total kasus positif Covid-19 dengan angka kesembuhan dan kematian. Informasi itu disampaikan Satuan Tugas Penanganan Covid-19 melalui dokumen yang disiarkan kepada wartawan, Senin sore. Data juga bisa diakses melalui situs covid19.go.id. Di sisi lain secara kumulatif kasus positif Covid-19 di Indonesia telah mencapai 4.289.305 kasus hingga hari ini.",652
5,2022-01-25 00:00:00,UPDATE 25 Januari: 7.483 Kasus Suspek Covid-19 di Indonesia,"JAKARTA, KOMPAS.com- Pemerintah mencatat, hingga Selasa (25/1/2022) ada 7.483 suspek Covid-19 di Indonesia. Data tersebut disampaikan Satuan Tugas Penanganan Covid-19 melalui dokumen yang diberikan pada wartawan. Kategori suspek Covid-19 diberikan pada orang yang mengalami infeksi saluran pernapasan...",negatif,,,"JAKARTA, KOMPAS.com- Pemerintah mencatat, hingga Selasa (25/1/2022) ada 7.483 suspek Covid-19 di Indonesia. Data tersebut disampaikan Satuan Tugas Penanganan Covid-19 melalui dokumen yang diberikan pada wartawan. Kategori suspek Covid-19 diberikan pada orang yang mengalami infeksi saluran pernapasan akut (ISPA) dan pada 14 hari terakhir sebelum timbul gejala memiliki riwayat perjalanan atau tinggal di negara/wilayah Indonesia yang melaporkan transmisi lokal.",462
6,2022-01-25 00:00:00,Masuk Indonesia via Bali atau Kepri Boleh Gunakan Kapal Pesiar dan Yacht,"JAKARTA, KOMPAS.com- Pemerintah melalui Kementerian Dalam Negeri telah menetapkan perpanjangan pemberlakuan pembatasan kegiatan masyarakat (PPKM) di Jawa-Bali untuk periode 25-31 Januari 2022 atau selama sepekan mendatang. Perpanjangan itu dinyatakan dalam InstruksiMendagri(Inmendagri) Nomor 05 Tahu...",negatif,,,"JAKARTA, KOMPAS.com- Pemerintah melalui Kementerian Dalam Negeri telah menetapkan perpanjangan pemberlakuan pembatasan kegiatan masyarakat (PPKM) di Jawa-Bali untuk periode 25-31 Januari 2022 atau selama sepekan mendatang. Perpanjangan itu dinyatakan dalam InstruksiMendagri(Inmendagri) Nomor 05 Tahun 2022 tentang Pemberlakuan Pembatasan Kegiatan Masyarakat Level 3, Level 2 dan Level 1 Corona Virus Disease 2019 di Wilayah Jawa danBali. Dalam perpanjangan ini, pemerintah juga mengatur pembatasan pintu masuk perjalanan penumpang internasional. Mendagri Tito Karnavian menjelaskan, hanya ada enam pintu masuk perjalanan udara ke Indonesia. Dua di antaranya berlokasi di Kepulauan Riau.",687
7,2022-01-26 00:00:00,Sejarah FIR Indonesia Dikuasai Singapura sejak Era Kemerdekaan dan Kini Diambil Alih,"JAKARTA, KOMPAS.com- Indonesia mencapai kesepakatan dengan Singapura terkait pengambilalihan Pelayanan Ruang Udara atauFlight Information Region(FIR) di atas wilayah Kepulauan Riau dan Natuna. Hal itu dikukuhkan melalui penandatanganan kesepakatan penyesuaian FIR oleh Menteri Perhubungan (Menhub) Bu...",positif,,,"JAKARTA, KOMPAS.com- Indonesia mencapai kesepakatan dengan Singapura terkait pengambilalihan Pelayanan Ruang Udara atauFlight Information Region(FIR) di atas wilayah Kepulauan Riau dan Natuna. Hal itu dikukuhkan melalui penandatanganan kesepakatan penyesuaian FIR oleh Menteri Perhubungan (Menhub) Budi Karya Sumadi dengan Menteri Transportasi Singapura S. Iswaran, yang disaksikan langsung oleh Presiden Joko Widodo dan Perdana Menteri Singapura Lee Hsien Loong di Pulau Bintan, Kepulauan Riau, Selasa (25/1/2022).",515
8,2022-01-26 00:00:00,KPK Sambut Gembira Perjanjian Ekstradisi Indonesia-Singapura,"JAKARTA, KOMPAS.com -Ketua Komisi Pemberantasan Korupsi (KPK) Firli Bahuri menyatakan, KPK menyambut gembira adanya perjanjian ekstradisi Indonesia dan Singapura yang ditandatangi pada Selasa (25/1/2022). Menurut Firli, perjanjian tersebut membuka kesempatan yang lebih kuat bagi KPK untuk bekerja sa...",positif,,,"JAKARTA, KOMPAS.com -Ketua Komisi Pemberantasan Korupsi (KPK) Firli Bahuri menyatakan, KPK menyambut gembira adanya perjanjian ekstradisi Indonesia dan Singapura yang ditandatangi pada Selasa (25/1/2022). Menurut Firli, perjanjian tersebut membuka kesempatan yang lebih kuat bagi KPK untuk bekerja sama dengan pihak Singapura dalam menyelesaikan berbagai perkara yang ditangani KPK. ""Perjanjian esktradisi bagi KPK, kami menyambut gembira, Dan saya kira ini adalah kegembiraan untuk seluruh rakyat bangsa Indonesia,"" kata Firli di Kompleks Parlemen, Jakarta, Rabu (26/1/2022). ""Karena akan membuka kesempatan yang lebih erat, lebih kuat, dengan kerja sama dengan Singapura, terkait dengan penyelesaian-penyelesaian perkara-perkara yang memang menjadi perhatian kita,"" ujar Firli melanjutkan.",791
9,2022-01-28 00:00:00,"Singapura Bisa Latihan Militer di Langit Indonesia, Effendi Simbolon: Kenapa Dikasih?","JAKARTA, KOMPAS.com- Anggota Komisi I DPR dari Fraksi PDI-P Effendi Simbolon mempertanyakan soal Perjanjian Kerjasama Pertahanan atauDefence Cooperation Agreement(DCA) antara Indonesia dan Singapura. Sebab, ia mengaku terkejut dengan salah satu kesepakatan di manaSingapuradiiizinkan untuk menggelarl...",positif,,,"JAKARTA, KOMPAS.com- Anggota Komisi I DPR dari Fraksi PDI-P Effendi Simbolon mempertanyakan soal Perjanjian Kerjasama Pertahanan atauDefence Cooperation Agreement(DCA) antara Indonesia dan Singapura. Sebab, ia mengaku terkejut dengan salah satu kesepakatan di manaSingapuradiiizinkan untuk menggelarlatihan militerdi atas langit Indonesia. ""Pihak Singapura minta menggunakanmilitary training area-nya bukan hanya dia sendiri lho, dia bisa menggunakan untuk latihan bersama lho. Masya Allah gua bilang,"" kata Effendi di Kompleks Parlemen Senayan, Jakarta, Kamis (27/1/2022).",573
10,2022-01-29 00:00:00,Perjanjian Indonesia-Singapura soal FIR dan DCA yang Menuai Kritik,"JAKARTA, KOMPAS.com -Perjanjian yang diteken oleh Pemerintah Indonesia dan Singapura mengenai penataan Flight Information Region (FIR) dan kerja sama pertahanan atau Defence Cooperation Agreement (DCA) menuai kritik dari sejumlah pihak. Dua perjanjian tersebut diteken pada Selasa (25/1/2022) dalam s...",netral,,,"JAKARTA, KOMPAS.com -Perjanjian yang diteken oleh Pemerintah Indonesia dan Singapura mengenai penataan Flight Information Region (FIR) dan kerja sama pertahanan atau Defence Cooperation Agreement (DCA) menuai kritik dari sejumlah pihak. Dua perjanjian tersebut diteken pada Selasa (25/1/2022) dalam satu paket perjanjian dengan satu perjanjian lainnya, yakni mengenai ekstradisi buronan. Perjanjian soal FIR dikritik lantaran hal tersebut tidak serta merta membuat Indonesia menguasai ruang udara di wilayah Kepulauan Riau dan Natuna yang disebut telah diambil alih lewat perjanjian itu. Menteri Perhubungan Budi Karya Sumadi menyebutkan, Indonesia akan bekerja sama dengan Singapura memberikan penyediaan jasa penerbangan (PJP) di sebagian area FIR Indonesia yang berbatasan dengan FIR Singapura.",797
